date,name,name_updated,address,lat,lon,rating,user_ratings_total,season,parks_count_1km,open_bars_count_500m,lst_celsius_1km,temp_max,temp_min,precip_mm,ndvi,nightlight
2023-12-16,LAP COFFEE,LAP COFFEE_Adalbertstraße,"Adalbertstraße 91, 10999 Berlin, Germany",52.5011783,13.4189707,4.4,41,Winter,13,14,6.4,7.9,4.9,0.1,0.0593543164432048,27.40999984741211
2023-12-16,LAP coffee,LAP COFFEE_Schönhauser Allee,"Schönhauser Allee 75, 10439 Berlin, Germany",52.5493204,13.4136695,4.7,103,Winter,1,8,6.35,7.8,4.9,0.1,0.1069484427571296,35.83000183105469
2023-12-17,LAP COFFEE,LAP COFFEE_Akazienstraße,"Akazienstraße 3A, 10823 Berlin, Germany",52.4867684,13.35549,4.7,151,Winter,11,12,8.100000000000001,9.8,6.4,0.0,0.1686247885227203,25.649999618530273
2023-12-17,LAP COFFEE,LAP COFFEE_Kastanienallee,"Kastanienallee 47, 10119 Berlin, Germany",52.5344486,13.4053129,4.8,176,Winter,7,6,8.15,9.8,6.5,0.0,0.1172205954790115,23.93000030517578
2023-12-17,LAP COFFEE,LAP COFFEE_Rosenthaler Str.,"Rosenthaler Str. 62, 10119 Berlin, Germany",52.5276603,13.4035268,4.7,689,Winter,9,20,8.15,9.8,6.5,0.0,0.0767005756497383,82.66000366210938
2023-12-17,LAP COFFEE,LAP COFFEE_Uhlandstraße,"Uhlandstraße 30, 10719 Berlin, Germany",52.5006847,13.3247846,4.8,156,Winter,5,9,8.100000000000001,9.8,6.4,0.0,0.0469484105706214,46.150001525878906
2023-12-17,LAP COFFEE,LAP COFFEE_Kantstraße,"Kantstraße 23, 10623 Berlin, Germany",52.50615089999999,13.3208272,4.3,126,Winter,7,10,8.100000000000001,9.8,6.4,0.0,0.1876681596040725,40.91999816894531
2023-12-17,LAP COFFEE,LAP COFFEE_Kurfürstendamm,"Kurfürstendamm 229, 10719 Berlin, Germany",52.5036798,13.3322424,4.3,18,Winter,7,14,8.100000000000001,9.8,6.4,0.0,0.0529358275234699,90.87000274658205
2023-12-17,LAP COFFEE,LAP COFFEE_Karl-Marx-Straße,"Karl-Marx-Straße 101, 12043 Berlin, Germany",52.479598,13.4377434,4.4,61,Winter,7,10,8.100000000000001,9.8,6.4,0.0,0.0511224642395973,21.59000015258789
2023-12-17,LAP COFFEE,LAP COFFEE_Oderberger Str.,"Oderberger Str. 53, 10435 Berlin, Germany",52.5385328,13.4091964,4.8,35,Winter,2,16,8.15,9.8,6.5,0.0,0.0017962412675842,33.4900016784668
2023-12-17,LAP COFFEE,LAP COFFEE_Graefestraße,"Graefestraße 19, 10967 Berlin, Germany",52.4928841,13.4173035,4.4,91,Winter,3,8,8.100000000000001,9.8,6.4,0.0,0.1617579013109207,26.6299991607666
2023-12-17,LAP COFFEE,LAP COFFEE_Raumerstraße,"Raumerstraße 35, 10437 Berlin, Germany",52.541964,13.4213096,4.7,135,Winter,7,14,8.15,9.8,6.5,0.0,0.02065284922719,22.850000381469727
2023-12-17,LAP COFFEE,LAP COFFEE_Schönhauser Allee,"Schönhauser Allee 176, 10119 Berlin, Germany",52.53169699999999,13.4119802,4.9,79,Winter,5,8,8.15,9.8,6.5,0.0,0.1669570207595825,42.869998931884766
2023-12-17,LAP COFFEE,LAP COFFEE_Krossener Str.,"Krossener Str. 21, 10245 Berlin, Germany",52.51026840000001,13.4592979,4.0,49,Winter,7,22,8.15,9.8,6.5,0.0,0.1471692621707916,48.2400016784668
2023-12-17,LAP COFFEE,LAP COFFEE_Rykestraße,"Rykestraße 11, 10405 Berlin, Germany",52.5362018,13.4206822,4.7,117,Winter,7,10,8.15,9.8,6.5,0.0,0.0588837563991546,34.470001220703125
2023-12-17,LAP COFFEE,LAP COFFEE_Falckensteinstraße,"Falckensteinstraße 5, 10997 Berlin, Germany",52.499624,13.4431491,4.1,40,Winter,4,8,8.15,9.8,6.5,0.0,0.0904587730765342,36.15999984741211
2023-12-17,LAP COFFEE,LAP COFFEE_Adalbertstraße,"Adalbertstraße 91, 10999 Berlin, Germany",52.5011783,13.4189707,4.4,41,Winter,13,14,8.100000000000001,9.8,6.4,0.0,0.0593543164432048,27.40999984741211
2023-12-17,LAP coffee,LAP COFFEE_Schönhauser Allee,"Schönhauser Allee 75, 10439 Berlin, Germany",52.5493204,13.4136695,4.7,103,Winter,1,8,8.15,9.8,6.5,0.0,0.1069484427571296,35.83000183105469
2023-12-18,LAP COFFEE,LAP COFFEE_Akazienstraße,"Akazienstraße 3A, 10823 Berlin, Germany",52.4867684,13.35549,4.7,151,Winter,11,12,5.949999999999999,7.1,4.8,0.0,0.1686247885227203,25.649999618530273
2023-12-18,LAP COFFEE,LAP COFFEE_Kastanienallee,"Kastanienallee 47, 10119 Berlin, Germany",52.5344486,13.4053129,4.8,176,Winter,7,6,6.1,7.1,5.1,0.0,0.1172205954790115,23.93000030517578
2023-12-18,LAP COFFEE,LAP COFFEE_Rosenthaler Str.,"Rosenthaler Str. 62, 10119 Berlin, Germany",52.5276603,13.4035268,4.7,689,Winter,9,20,6.1,7.1,5.1,0.0,0.0767005756497383,82.66000366210938
2023-12-18,LAP COFFEE,LAP COFFEE_Uhlandstraße,"Uhlandstraße 30, 10719 Berlin, Germany",52.5006847,13.3247846,4.8,156,Winter,5,9,5.949999999999999,7.1,4.8,0.0,0.0469484105706214,46.150001525878906
2023-12-18,LAP COFFEE,LAP COFFEE_Kantstraße,"Kantstraße 23, 10623 Berlin, Germany",52.50615089999999,13.3208272,4.3,126,Winter,7,10,5.949999999999999,7.1,4.8,0.0,0.1876681596040725,40.91999816894531
2023-12-18,LAP COFFEE,LAP COFFEE_Kurfürstendamm,"Kurfürstendamm 229, 10719 Berlin, Germany",52.5036798,13.3322424,4.3,18,Winter,7,14,5.949999999999999,7.1,4.8,0.0,0.0529358275234699,90.87000274658205
2023-12-18,LAP COFFEE,LAP COFFEE_Karl-Marx-Straße,"Karl-Marx-Straße 101, 12043 Berlin, Germany",52.479598,13.4377434,4.4,61,Winter,7,10,5.949999999999999,7.1,4.8,0.0,0.0511224642395973,21.59000015258789
2023-12-18,LAP COFFEE,LAP COFFEE_Oderberger Str.,"Oderberger Str. 53, 10435 Berlin, Germany",52.5385328,13.4091964,4.8,35,Winter,2,16,6.1,7.1,5.1,0.0,0.0017962412675842,33.4900016784668
2023-12-18,LAP COFFEE,LAP COFFEE_Graefestraße,"Graefestraße 19, 10967 Berlin, Germany",52.4928841,13.4173035,4.4,91,Winter,3,8,5.949999999999999,7.1,4.8,0.0,0.1617579013109207,26.6299991607666
2023-12-18,LAP COFFEE,LAP COFFEE_Raumerstraße,"Raumerstraße 35, 10437 Berlin, Germany",52.541964,13.4213096,4.7,135,Winter,7,14,6.1,7.1,5.1,0.0,0.02065284922719,22.850000381469727
2023-12-18,LAP COFFEE,LAP COFFEE_Schönhauser Allee,"Schönhauser Allee 176, 10119 Berlin, Germany",52.53169699999999,13.4119802,4.9,79,Winter,5,8,6.1,7.1,5.1,0.0,0.1669570207595825,42.869998931884766
2023-12-18,LAP COFFEE,LAP COFFEE_Krossener Str.,"Krossener Str. 21, 10245 Berlin, Germany",52.51026840000001,13.4592979,4.0,49,Winter,7,22,6.1,7.1,5.1,0.0,0.1471692621707916,48.2400016784668
2023-12-18,LAP COFFEE,LAP COFFEE_Rykestraße,"Rykestraße 11, 10405 Berlin, Germany",52.5362018,13.4206822,4.7,117,Winter,7,10,6.1,7.1,5.1,0.0,0.0588837563991546,34.470001220703125
2023-12-18,LAP COFFEE,LAP COFFEE_Falckensteinstraße,"Falckensteinstraße 5, 10997 Berlin, Germany",52.499624,13.4431491,4.1,40,Winter,4,8,6.1,7.1,5.1,0.0,0.0904587730765342,36.15999984741211
2023-12-18,LAP COFFEE,LAP COFFEE_Adalbertstraße,"Adalbertstraße 91, 10999 Berlin, Germany",52.5011783,13.4189707,4.4,41,Winter,13,14,5.949999999999999,7.1,4.8,0.0,0.0593543164432048,27.40999984741211
2023-12-18,LAP coffee,LAP COFFEE_Schönhauser Allee,"Schönhauser Allee 75, 10439 Berlin, Germany",52.5493204,13.4136695,4.7,103,Winter,1,8,6.1,7.1,5.1,0.0,0.1069484427571296,35.83000183105469
2023-12-19,LAP COFFEE,LAP COFFEE_Akazienstraße,"Akazienstraße 3A, 10823 Berlin, Germany",52.4867684,13.35549,4.7,151,Winter,11,12,6.45,7.4,5.5,7.1,0.1686247885227203,25.649999618530273
2023-12-19,LAP COFFEE,LAP COFFEE_Kastanienallee,"Kastanienallee 47, 10119 Berlin, Germany",52.5344486,13.4053129,4.8,176,Winter,7,6,6.449999999999999,7.3,5.6,7.0,0.1172205954790115,23.93000030517578
2023-12-19,LAP COFFEE,LAP COFFEE_Rosenthaler Str.,"Rosenthaler Str. 62, 10119 Berlin, Germany",52.5276603,13.4035268,4.7,689,Winter,9,20,6.449999999999999,7.3,5.6,7.0,0.0767005756497383,82.66000366210938
2023-12-19,LAP COFFEE,LAP COFFEE_Uhlandstraße,"Uhlandstraße 30, 10719 Berlin, Germany",52.5006847,13.3247846,4.8,156,Winter,5,9,6.45,7.4,5.5,7.1,0.0469484105706214,46.150001525878906
2023-12-19,LAP COFFEE,LAP COFFEE_Kantstraße,"Kantstraße 23, 10623 Berlin, Germany",52.50615089999999,13.3208272,4.3,126,Winter,7,10,6.45,7.4,5.5,7.1,0.1876681596040725,40.91999816894531
2023-12-19,LAP COFFEE,LAP COFFEE_Kurfürstendamm,"Kurfürstendamm 229, 10719 Berlin, Germany",52.5036798,13.3322424,4.3,18,Winter,7,14,6.45,7.4,5.5,7.1,0.0529358275234699,90.87000274658205
2023-12-19,LAP COFFEE,LAP COFFEE_Karl-Marx-Straße,"Karl-Marx-Straße 101, 12043 Berlin, Germany",52.479598,13.4377434,4.4,61,Winter,7,10,6.45,7.4,5.5,7.1,0.0511224642395973,21.59000015258789
2023-12-19,LAP COFFEE,LAP COFFEE_Oderberger Str.,"Oderberger Str. 53, 10435 Berlin, Germany",52.5385328,13.4091964,4.8,35,Winter,2,16,6.449999999999999,7.3,5.6,7.0,0.0017962412675842,33.4900016784668
2023-12-19,LAP COFFEE,LAP COFFEE_Graefestraße,"Graefestraße 19, 10967 Berlin, Germany",52.4928841,13.4173035,4.4,91,Winter,3,8,6.45,7.4,5.5,7.1,0.1617579013109207,26.6299991607666
2023-12-19,LAP COFFEE,LAP COFFEE_Raumerstraße,"Raumerstraße 35, 10437 Berlin, Germany",52.541964,13.4213096,4.7,135,Winter,7,14,6.449999999999999,7.3,5.6,7.0,0.02065284922719,22.850000381469727
2023-12-19,LAP COFFEE,LAP COFFEE_Schönhauser Allee,"Schönhauser Allee 176, 10119 Berlin, Germany",52.53169699999999,13.4119802,4.9,79,Winter,5,8,6.449999999999999,7.3,5.6,7.0,0.1669570207595825,42.869998931884766
2023-12-19,LAP COFFEE,LAP COFFEE_Krossener Str.,"Krossener Str. 21, 10245 Berlin, Germany",52.51026840000001,13.4592979,4.0,49,Winter,7,22,6.449999999999999,7.3,5.6,7.0,0.1471692621707916,48.2400016784668
2023-12-19,LAP COFFEE,LAP COFFEE_Rykestraße,"Rykestraße 11, 10405 Berlin, Germany",52.5362018,13.4206822,4.7,117,Winter,7,10,6.449999999999999,7.3,5.6,7.0,0.0588837563991546,34.470001220703125
2023-12-19,LAP COFFEE,LAP COFFEE_Falckensteinstraße,"Falckensteinstraße 5, 10997 Berlin, Germany",52.499624,13.4431491,4.1,40,Winter,4,8,6.449999999999999,7.3,5.6,7.0,0.0904587730765342,36.15999984741211
2023-12-19,LAP COFFEE,LAP COFFEE_Adalbertstraße,"Adalbertstraße 91, 10999 Berlin, Germany",52.5011783,13.4189707,4.4,41,Winter,13,14,6.45,7.4,5.5,7.1,0.0593543164432048,27.40999984741211
2023-12-19,LAP coffee,LAP COFFEE_Schönhauser Allee,"Schönhauser Allee 75, 10439 Berlin, Germany",52.5493204,13.4136695,4.7,103,Winter,1,8,6.449999999999999,7.3,5.6,7.0,0.1069484427571296,35.83000183105469
2023-12-20,LAP COFFEE,LAP COFFEE_Akazienstraße,"Akazienstraße 3A, 10823 Berlin, Germany",52.4867684,13.35549,4.7,151,Winter,11,12,5.4,6.6,4.2,5.3,0.1686247885227203,25.649999618530273
2023-12-20,LAP COFFEE,LAP COFFEE_Kastanienallee,"Kastanienallee 47, 10119 Berlin, Germany",52.5344486,13.4053129,4.8,176,Winter,7,6,5.25,6.5,4.0,5.8,0.1172205954790115,23.93000030517578
2023-12-20,LAP COFFEE,LAP COFFEE_Rosenthaler Str.,"Rosenthaler Str. 62, 10119 Berlin, Germany",52.5276603,13.4035268,4.7,689,Winter,9,20,5.25,6.5,4.0,5.8,0.0767005756497383,82.66000366210938
2023-12-20,LAP COFFEE,LAP COFFEE_Uhlandstraße,"Uhlandstraße 30, 10719 Berlin, Germany",52.5006847,13.3247846,4.8,156,Winter,5,9,5.4,6.6,4.2,5.3,0.0469484105706214,46.150001525878906
2023-12-20,LAP COFFEE,LAP COFFEE_Kantstraße,"Kantstraße 23, 10623 Berlin, Germany",52.50615089999999,13.3208272,4.3,126,Winter,7,10,5.4,6.6,4.2,5.3,0.1876681596040725,40.91999816894531
